Time_from_start, RA, dec, DM, SNR, DM_corr, SNR_corr, “ı1000_ , S_o, S_o50
10475.2, 9.54, 46.62, 13.9, 6.34, 13.9, 10, 26, 13.2, 6.6
16536, 16.29, 56.61, 11.62, 6.04, 11.618, 10, 38, 19.4, 9.7
3670.41, 12.72, 57.4, 21.02, 6.61, 21.022, 10, 30, 15.3, 7.7
34905.1, 4.95, 68.65, 14.23, 6.23, 14.22, 10, 55, 29.4, 14.7
20445.4, 0.94, 69.48, 15.58, 6.1, 15.58, 10, 69, 37.1, 18.5
38337, 18.81, 72.43, 8.54, 6.46, 8.532, 10, 43, 23.6, 11.8
9153.58, 10.7, 74.14, 8.73, 6.12, 8.734, 10, 32, 17.8, 8.9
20997, 13.99, 74.14, 6.07, 6.03, 6.066, 10, 34, 18.9, 9.4
44682.1, 10.29, 12.25, 18.83, 6.15, 18.83, 10.1, 26, 16.8, 8.4
18554.7, 23.52, 20.46, 20.39, 6.05, 20.394, 10.1, 40, 23.5, 11.8
32665.8, 6.43, -2.88, 17.64, 6.28, 17.64, 10.2, 43, 36.8, 18.4
16917, 2.19, 0.14, 14.86, 6.18, 14.862, 10.2, 35, 28, 14
7905.29, 9.88, 6.31, 2.97, 6.2, 2.976, 10.2, 22, 15.7, 7.9
61.1431, 21.77, 6.68, 11.63, 6.01, 11.622, 10.2, 41, 29.1, 14.6
20271.5, 16.54, 17.5, 7.02, 6, 7.026, 10.2, 71, 43.5, 21.7
22100.9, 0.72, 23.93, 11.62, 6.63, 11.62, 10.2, 37, 21.3, 10.6
2285.05, 18.97, 40.01, 5.54, 6.27, 5.538, 10.2, 50, 26.2, 13.1
27964.8, 14.4, 46.62, 21.13, 6.39, 21.128, 10.2, 29, 15, 7.5
258.895, 10.5, 48.92, 1.59, 6.01, 1.59, 10.2, 24, 12.4, 6.2
2158.77, 11.16, 53.51, 11.95, 6.16, 11.952, 10.2, 28, 14.5, 7.2
19237.5, 14.44, 70.34, 15.02, 6.37, 15.016, 10.2, 33, 18.2, 9.1
26686.2, 4.64, -9.66, 15.21, 6.29, 15.212, 10.3, 27, 27.9, 13.9
39150.4, 20.72, -8.78, 5.52, 6.21, 5.526, 10.3, 41, 41.3, 20.6
17969.6, 15.62, 55.42, 28.2, 6.08, 28.196, 10.3, 35, 18.3, 9.2
16003.7, 15.07, 55.82, 10.75, 6.31, 10.75, 10.3, 33, 17.3, 8.7
23705.3, 3.81, -11.23, 24.64, 6.11, 24.642, 10.5, 24, 26.5, 13.3
35344.2, 7.04, -8.9, 14.97, 6.33, 14.966, 10.5, 36, 37.1, 18.5
17994.3, 14.84, -8.78, 14.99, 6.21, 14.984, 10.5, 33, 33.9, 16.9
5440.83, 23.33, 11.25, 10.67, 6.05, 10.67, 10.5, 42, 28.6, 14.3
45117.7, 10.35, 11.25, 12.72, 6.11, 12.718, 10.5, 24, 16.4, 8.2
9133.69, 0.55, 16.89, 20.53, 7.13, 20.528, 10.5, 35, 22.2, 11.1
5567.9, 12.46, 17.96, 27.13, 6.15, 27.132, 10.5, 33, 20.7, 10.4
18469.5, 11.82, 20.55, 25.9, 6.05, 25.9, 10.5, 30, 18.3, 9.2
5362.34, 7.83, 26.47, 27.91, 6.05, 27.906, 10.5, 35, 20.3, 10.1
2638.66, 19.69, 34.91, 24.48, 6.27, 24.48, 10.5, 74, 40.8, 20.4
4697.88, 20.26, 35.72, 13.11, 6, 13.11, 10.5, 86, 47.2, 23.6
32629.7, 15.63, 43.54, 13.07, 6.19, 13.08, 10.5, 36, 19.3, 9.6
3490.74, 12.67, 57.01, 5.63, 6.1, 5.618, 10.5, 31, 16.6, 8.3
788.442, 7.64, 67.94, 18.27, 6.07, 12.278, 10.5, 42, 23.5, 11.7
6599.05, 21.09, 69.48, 15.61, 6.02, 15.606, 10.5, 56, 31.6, 15.8
31134.3, 16.81, 72.86, 13.09, 6, 13.088, 10.5, 36, 20.8, 10.4
30953.4, 2.97, 20.01, 8.7, 6.23, 8.702, 10.6, 43, 26.7, 13.3
13174.8, 12.76, 70.76, 12.73, 6.29, 12.724, 10.8, 33, 19.3, 9.7
4888.68, 22.71, -4.85, 8.03, 6.47, 8.028, 10.9, 32, 30.7, 15.3
37080.1, 4.64, 39.62, 16.46, 6.43, 16.45, 10.9, 57, 32, 16
7774.93, 20.98, 70.26, 7.83, 6.24, 7.832, 10.9, 57, 33.5, 16.8
